lat,lon,time,year,t2m,ssrd,tp,swvl1,swvl2,swvl3,swvl4,lai
64.37499999999999,-156.87500000000003,0,1982,276.56247,4.2301774,20.819012,0.33132824,0.33592764,0.3511895,0.34603313,0.2151428610086441
64.37499999999999,-156.87500000000003,15,1982,275.71933,6.88596,1.395841,0.30966997,0.3145926,0.32791537,0.3460322,0.2142857313156128
64.37499999999999,-156.87500000000003,30,1982,276.2401,7.75732,12.397645,0.30350736,0.30526102,0.3137967,0.34246624,0.20842857658863068
64.37499999999999,-156.87500000000003,45,1982,276.01007,9.0006275,25.555002,0.32627153,0.3241994,0.3147598,0.33942044,0.2848571538925171
64.37499999999999,-156.87500000000003,60,1982,279.76053,10.9766445,24.253317,0.32934844,0.32784483,0.31569144,0.33721286,0.4065714180469513
64.37499999999999,-156.87500000000003,75,1982,281.46564,13.871339,44.02001,0.31146848,0.31584918,0.3181338,0.3351325,0.4665714204311371
64.37499999999999,-156.87500000000003,90,1982,285.0254,15.65369,10.400713,0.26887825,0.2743396,0.29810992,0.3325596,0.5972857475280762
64.37499999999999,-156.87500000000003,105,1982,284.52356,18.701923,15.662918,0.2378969,0.23912409,0.2684463,0.32825136,0.6984286308288574
64.37499999999999,-156.87500000000003,120,1982,287.6889,17.286995,69.65214,0.2773771,0.26659232,0.25332734,0.32266605,0.8265714049339294
64.37499999999999,-156.87500000000003,135,1982,292.7276,22.105768,22.654776,0.23328964,0.24048518,0.24381278,0.3172605,0.8155714273452759
64.37499999999999,-156.87500000000003,150,1982,294.67532,21.300755,51.45253,0.19342928,0.19188361,0.21532705,0.31095582,0.9647142291069031
64.37499999999999,-156.87500000000003,165,1982,294.78802,20.06722,37.99209,0.2600316,0.24852194,0.21269734,0.30543736,1.3837144374847412
64.37499999999999,-156.87500000000003,180,1982,297.12503,20.447378,10.572584,0.17856129,0.18938097,0.19496489,0.29991344,1.6578571796417236
