lat,lon,time,year,t2m,ssrd,tp,swvl1,swvl2,swvl3,swvl4,lai
88.375,-147.37500000000003,0,1982,256.25104,0.0,35.275932,0.3201583,0.3209061,0.31671792,0.3789172,0.03800000250339508
88.375,-147.37500000000003,15,1982,260.71097,0.07919349,38.938896,0.31813806,0.31743512,0.31455666,0.3756633,0.10344444960355759
88.375,-147.37500000000003,30,1982,261.09836,0.75413346,21.47011,0.3090601,0.3075571,0.30872837,0.37263352,0.15255557000637054
88.375,-147.37500000000003,45,1982,267.45728,1.771247,41.589695,0.29783607,0.2988446,0.292138,0.36973804,0.0806666761636734
88.375,-147.37500000000003,60,1982,263.1216,4.34549,11.166126,0.29388463,0.2953701,0.28779945,0.3666751,0.027888890355825424
88.375,-147.37500000000003,75,1982,267.40973,6.869212,45.312675,0.29440925,0.29478967,0.28778926,0.36349273,0.0063333334401249886
88.375,-147.37500000000003,90,1982,266.69202,11.558671,45.46257,0.2922975,0.2917096,0.28570157,0.36096987,0.043444447219371796
88.375,-147.37500000000003,105,1982,272.46063,15.372223,22.791544,0.31105363,0.29521132,0.27818477,0.35861313,0.12933333218097687
88.375,-147.37500000000003,120,1982,273.85895,17.514181,41.578323,0.37320253,0.34860137,0.27414256,0.35589215,0.2532222270965576
88.375,-147.37500000000003,135,1982,273.61966,20.896507,30.242586,0.40939867,0.40762055,0.35010108,0.3549395,0.32422223687171936
88.375,-147.37500000000003,150,1982,273.4066,18.366032,56.30928,0.38824552,0.39033753,0.41240415,0.38331535,0.3638888895511627
88.375,-147.37500000000003,165,1982,277.47037,20.99282,50.25587,0.3936454,0.3973289,0.39985782,0.39377776,0.36177778244018555
88.375,-147.37500000000003,180,1982,284.64777,17.534342,46.354515,0.34584287,0.34849122,0.3804696,0.39724895,0.5787777900695801
88.375,-147.37500000000003,195,1982,283.3894,11.276292,85.60591,0.38695058,0.39136437,0.3871104,0.3960537,0.4954444468021393
88.375,-147.37500000000003,210,1982,281.46,10.19052,65.64075,0.36732626,0.37264416,0.3868688,0.396061,0.5882222652435303
88.375,-147.37500000000003,225,1982,281.7162,8.675047,30.162748,0.3579327,0.3607726,0.3815758,0.39568442,0.534000039100647
88.375,-147.37500000000003,240,1982,275.99237,5.80259,82.08481,0.40300548,0.4040099,0.39383617,0.39530933,0.4921111464500427
88.375,-147.37500000000003,255,1982,273.51468,5.6775026,54.873283,0.3905034,0.39127338,0.4015522,0.3995287,0.6561111211776733
88.375,-147.37500000000003,270,1982,272.8177,2.3976738,20.26832,0.3783677,0.38449362,0.3959733,0.40043318,0.5987778306007385
88.375,-147.37500000000003,285,1982,268.60687,1.4256399,49.058716,0.35456964,0.35439175,0.37231854,0.39909795,0.3682222366333008
88.375,-147.37500000000003,300,1982,268.90204,0.32670367,57.744873,0.34590718,0.348189,0.34978688,0.3956893,0.19911111891269684
88.375,-147.37500000000003,315,1982,261.70428,0.01921774,14.184226,0.336674,0.33925086,0.34107894,0.3917649,0.04955555871129036
88.375,-147.37500000000003,330,1982,262.82523,-1.1175874e-14,41.907555,0.3382557,0.34029368,0.33837384,0.38823825,0.0046000005677342415
88.375,-147.37500000000003,345,1982,264.7218,-1.1175874e-14,28.151623,0.33412665,0.33592325,0.3485959,0.38484907,0.0
88.375,-147.37500000000003,0,1983,264.2763,-1.1175874e-14,20.93503,0.32648662,0.32581937,0.32031795,0.38132858,0.03800000250339508
88.375,-147.37500000000003,15,1983,260.0547,0.070668094,16.892061,0.32402503,0.32129928,0.31638074,0.37780803,0.10344444960355759
88.375,-147.37500000000003,30,1983,258.8959,0.6614102,27.294434,0.31570962,0.3163058,0.30509987,0.3743598,0.15255557000637054
88.375,-147.37500000000003,45,1983,266.5738,1.8821477,70.93526,0.31116864,0.31338945,0.30197194,0.3713184,0.0806666761636734
88.375,-147.37500000000003,60,1983,262.3823,4.4691744,26.902925,0.30533302,0.30695435,0.29796925,0.3684158,0.027888890355825424
88.375,-147.37500000000003,75,1983,267.318,7.5427775,19.10372,0.30119684,0.3024456,0.29455143,0.36542878,0.009444444440305233
88.375,-147.37500000000003,90,1983,269.16766,10.885441,6.925639,0.304741,0.302636,0.29444987,0.362876,0.04266666620969772
88.375,-147.37500000000003,105,1983,273.54193,12.42749,20.363161,0.36529052,0.3492198,0.2993277,0.3606566,0.1276666671037674
88.375,-147.37500000000003,120,1983,274.1958,17.287598,11.558964,0.39704752,0.39222807,0.3341959,0.35920313,0.20144444704055786
88.375,-147.37500000000003,135,1983,276.00104,16.365053,25.627968,0.42072913,0.4244856,0.42291903,0.38703313,0.28255558013916016
88.375,-147.37500000000003,150,1983,279.20886,18.522215,38.713543,0.38554126,0.38767576,0.39761436,0.42171803,0.4431111216545105
88.375,-147.37500000000003,165,1983,280.54434,14.039394,49.57948,0.37607014,0.37408462,0.34929073,0.41535017,0.3943333625793457
88.375,-147.37500000000003,180,1983,284.0306,14.261374,41.884888,0.33418322,0.33375305,0.32542974,0.4064741,0.4534444212913513
88.375,-147.37500000000003,195,1983,283.45944,11.203938,58.170723,0.36184222,0.36448944,0.3285403,0.39833754,0.6285555958747864
88.375,-147.37500000000003,210,1983,280.9518,10.656399,58.56166,0.37211373,0.3641523,0.32657877,0.3925448,0.5853333473205566
88.375,-147.37500000000003,225,1983,278.46536,8.50692,90.95256,0.3939026,0.3864818,0.3480085,0.3885559,0.367333322763443
88.375,-147.37500000000003,240,1983,281.5257,6.4583044,8.280975,0.37169904,0.379329,0.3848662,0.39075646,0.588111162185669
88.375,-147.37500000000003,255,1983,275.82916,4.6959014,41.498734,0.36151102,0.36310574,0.37156418,0.39040253,0.6721111536026001
88.375,-147.37500000000003,270,1983,270.48767,3.4706142,45.380302,0.34429076,0.34859797,0.3576357,0.38844982,0.5943334102630615
88.375,-147.37500000000003,285,1983,268.1623,1.458313,53.69056,0.35112503,0.35209605,0.34398425,0.38572264,0.36866670846939087
88.375,-147.37500000000003,300,1983,264.56744,0.40868977,68.23585,0.33459967,0.34006777,0.33670303,0.38291016,0.19499999284744263
88.375,-147.37500000000003,315,1983,257.31293,0.020148683,28.76687,0.32617214,0.3285861,0.3334007,0.3801035,0.04955555871129036
88.375,-147.37500000000003,330,1983,259.91797,0.0,40.21432,0.32576928,0.32864323,0.33213207,0.37750673,0.0046000005677342415
88.375,-147.37500000000003,345,1983,255.64174,0.0,9.194931,0.32367697,0.32326144,0.32671884,0.3750057,0.0
88.375,-147.37500000000003,0,1984,259.70053,1.1175874e-14,20.706186,0.31639606,0.31710842,0.3161432,0.37238413,0.03800000250339508
88.375,-147.37500000000003,15,1984,256.94498,0.07143184,6.1510577,0.31186444,0.31244156,0.30834574,0.3696711,0.10344444960355759
88.375,-147.37500000000003,30,1984,265.54984,0.6390335,22.315138,0.3088644,0.30914116,0.30263683,0.36704206,0.15077778697013855
88.375,-147.37500000000003,45,1984,266.43344,1.8574435,19.383478,0.3035025,0.30365562,0.29646674,0.3646148,0.0806666761636734
88.375,-147.37500000000003,60,1984,265.24158,4.1086473,29.657951,0.29883686,0.29924732,0.29363993,0.36223015,0.027888890355825424
88.375,-147.37500000000003,75,1984,261.69778,8.044339,16.6323,0.29561058,0.29757646,0.29399553,0.35985515,0.011333334259688854
88.375,-147.37500000000003,90,1984,269.77902,11.031692,25.54808,0.2917766,0.29281086,0.28963917,0.35768113,0.041555557399988174
88.375,-147.37500000000003,105,1984,272.7752,12.964827,37.68866,0.32292444,0.30157122,0.28785327,0.3555842,0.12933333218097687
88.375,-147.37500000000003,120,1984,274.53934,17.21223,34.910885,0.4021856,0.4007078,0.3407636,0.35431606,0.24855555593967438
88.375,-147.37500000000003,135,1984,280.08337,19.109638,26.575788,0.41678828,0.42113447,0.4186172,0.3837334,0.40533339977264404
88.375,-147.37500000000003,150,1984,279.56882,21.240936,47.18962,0.35252678,0.35969767,0.37418774,0.4143628,0.570111095905304
88.375,-147.37500000000003,165,1984,281.8914,14.270942,49.421402,0.36742046,0.37393934,0.35363576,0.4080692,0.5792222619056702
88.375,-147.37500000000003,180,1984,280.65814,10.411123,35.511665,0.3669092,0.36869624,0.34518817,0.4020309,0.636222243309021
88.375,-147.37500000000003,195,1984,283.24936,9.067376,39.117,0.3615213,0.36064875,0.33611995,0.39639875,0.5767778158187866
