lat,lon,time,year,t2m,ssrd,tp,swvl1,swvl2,swvl3,swvl4,lai
59.375,-153.62500000000003,0,1982,280.05756,6.326899,8.284868,0.35591713,0.35107774,0.32038853,0.32356343,0.5267778038978577
59.375,-153.62500000000003,15,1982,277.23883,6.0030046,30.760876,0.3735746,0.36906743,0.32941067,0.32412636,0.5587778091430664
59.375,-153.62500000000003,30,1982,275.98874,9.536533,14.798496,0.35790357,0.3602911,0.343424,0.32551566,0.585444450378418
59.375,-153.62500000000003,45,1982,276.0856,8.19909,54.480896,0.37660325,0.37020963,0.3463287,0.32697693,0.6662222743034363
59.375,-153.62500000000003,60,1982,277.64044,13.274684,51.467472,0.3973178,0.3988845,0.3794767,0.33249715,0.795555591583252
59.375,-153.62500000000003,75,1982,279.1299,15.10221,59.992233,0.3866398,0.38962418,0.38104346,0.3397301,1.2660000324249268
59.375,-153.62500000000003,90,1982,283.85202,19.696033,13.5942135,0.33414367,0.35135418,0.37545592,0.34566498,2.073333263397217
59.375,-153.62500000000003,105,1982,279.9092,17.088573,32.581833,0.32550663,0.31870902,0.34763536,0.3464565,2.348444700241089
59.375,-153.62500000000003,120,1982,286.32028,19.945488,15.559294,0.28845358,0.30538338,0.32894608,0.34503254,2.8932223320007324
59.375,-153.62500000000003,135,1982,288.78653,23.532701,12.280423,0.23220314,0.25679228,0.30955973,0.34217647,3.1944446563720703
59.375,-153.62500000000003,150,1982,291.12494,24.271717,20.348309,0.22081533,0.23364972,0.28985655,0.33849004,2.706777811050415
59.375,-153.62500000000003,165,1982,294.79196,27.034664,0.117176786,0.16504668,0.21143964,0.27510035,0.33413714,2.3778889179229736
59.375,-153.62500000000003,180,1982,294.54138,26.601725,5.740018,0.1579428,0.19637586,0.268816,0.32891998,1.9280000925064087
59.375,-153.62500000000003,195,1982,294.66394,22.540035,31.327728,0.23724101,0.23494752,0.27261877,0.32473937,1.7992223501205444
59.375,-153.62500000000003,210,1982,294.67657,21.945417,30.14292,0.22570604,0.23661445,0.26689094,0.3211484,1.7364444732666016
59.375,-153.62500000000003,225,1982,294.0739,21.673985,6.463612,0.18027198,0.2197191,0.2550883,0.3177799,1.4503333568572998
59.375,-153.62500000000003,240,1982,293.0905,16.927603,46.327694,0.21829528,0.21143079,0.24607052,0.3142483,1.1106667518615723
59.375,-153.62500000000003,255,1982,291.7528,16.11994,6.3999934,0.25169125,0.26553747,0.24261001,0.3118421,1.4041112661361694
59.375,-153.62500000000003,270,1982,287.45233,10.479312,48.99938,0.31774992,0.2932525,0.24814002,0.30980736,1.231555461883545
59.375,-153.62500000000003,285,1982,285.88605,9.165446,23.395178,0.31212944,0.30046204,0.25615582,0.30834776,1.077555537223816
59.375,-153.62500000000003,300,1982,282.9311,8.622385,18.44102,0.29948333,0.29587632,0.2633824,0.30730513,0.8832222819328308
59.375,-153.62500000000003,315,1982,280.70676,7.278908,37.032673,0.35909382,0.35053527,0.2837545,0.30674717,0.737000048160553
59.375,-153.62500000000003,330,1982,280.78552,5.962619,21.316158,0.3442666,0.33837864,0.3041524,0.30675077,0.6264444589614868
59.375,-153.62500000000003,345,1982,278.18436,5.2813807,44.511208,0.37567425,0.3685951,0.37351483,0.30857286,0.43800002336502075
59.375,-153.62500000000003,0,1983,277.7762,7.145834,9.137534,0.35733682,0.35708138,0.3337094,0.31092504,0.516777753829956
59.375,-153.62500000000003,15,1983,277.13376,8.331491,22.106348,0.35743093,0.35318872,0.33801147,0.31250843,0.5506666898727417
59.375,-153.62500000000003,30,1983,277.1248,9.1717205,61.19576,0.38667667,0.3832512,0.3547664,0.31531537,0.573888897895813
59.375,-153.62500000000003,45,1983,273.2924,9.711861,35.607807,0.3844424,0.38177443,0.36522892,0.3218751,0.5934445261955261
59.375,-153.62500000000003,60,1983,278.2341,15.347484,24.628145,0.3673713,0.37828848,0.37647602,0.3287125,0.8844444751739502
59.375,-153.62500000000003,75,1983,281.636,14.26583,51.432438,0.36718932,0.36415628,0.3614121,0.33368462,1.2443333864212036
59.375,-153.62500000000003,90,1983,281.77634,19.927858,15.70471,0.32762077,0.34238788,0.35377306,0.33498555,1.990110993385315
59.375,-153.62500000000003,105,1983,286.04214,22.621151,6.4134226,0.2502356,0.2837147,0.3333149,0.33432627,2.9917778968811035
59.375,-153.62500000000003,120,1983,287.38327,22.719063,3.952287,0.19126101,0.23866321,0.30712557,0.33204892,2.915222406387329
59.375,-153.62500000000003,135,1983,288.9028,22.615568,23.148592,0.20022447,0.21300647,0.28293094,0.32835585,3.3332223892211914
59.375,-153.62500000000003,150,1983,290.83093,24.45146,25.727129,0.2220068,0.21986097,0.27704504,0.32454476,3.037777900695801
59.375,-153.62500000000003,165,1983,289.72543,20.537802,40.534557,0.27765816,0.26085916,0.27976295,0.32161304,1.9320000410079956
59.375,-153.62500000000003,180,1983,293.22546,22.946026,35.723656,0.26644212,0.2700606,0.27413064,0.31875458,1.575888991355896
59.375,-153.62500000000003,195,1983,297.27386,26.133173,4.376778,0.21015517,0.24229522,0.27140772,0.31543976,1.5006667375564575
59.375,-153.62500000000003,210,1983,293.23096,20.794647,11.909208,0.17985693,0.20682889,0.26833484,0.31181675,1.6164445877075195
59.375,-153.62500000000003,225,1983,293.54974,18.497156,31.466238,0.2325253,0.21348408,0.25699142,0.30907175,1.5242222547531128
59.375,-153.62500000000003,240,1983,292.3381,18.617615,8.107816,0.19385904,0.19775881,0.24138759,0.30632207,1.516555666923523
59.375,-153.62500000000003,255,1983,289.98105,15.231536,26.758936,0.18980302,0.19003326,0.23224746,0.30347437,1.1371111869812012
59.375,-153.62500000000003,270,1983,287.5707,14.813417,10.105922,0.22780742,0.22613257,0.23868825,0.30129468,1.2591111660003662
59.375,-153.62500000000003,285,1983,284.20413,8.475008,95.891266,0.34472677,0.33017746,0.25278512,0.29974324,0.8222222328186035
59.375,-153.62500000000003,300,1983,282.2118,6.806836,52.030476,0.36913946,0.36786166,0.29661027,0.299616,0.7815555930137634
59.375,-153.62500000000003,315,1983,280.2682,6.294852,28.01626,0.37214056,0.36757737,0.32137328,0.30083516,0.5546667575836182
59.375,-153.62500000000003,330,1983,274.3643,4.750849,134.0112,0.40320608,0.3982433,0.3560363,0.30398932,0.5842222571372986
59.375,-153.62500000000003,345,1983,279.64264,6.4509296,52.28587,0.40781426,0.4132474,0.41033724,0.32613504,0.5252222418785095
59.375,-153.62500000000003,0,1984,276.5108,5.750962,59.081665,0.3873824,0.3889659,0.39966863,0.3500944,0.440555602312088
59.375,-153.62500000000003,15,1984,278.6477,7.3560743,29.651394,0.39069125,0.39579278,0.40349293,0.36405465,0.516777753829956
59.375,-153.62500000000003,30,1984,275.80258,8.104354,60.610363,0.37973985,0.3826305,0.38933828,0.37128866,0.6434444785118103
59.375,-153.62500000000003,45,1984,276.81125,9.403695,50.718876,0.40085617,0.40197235,0.40104505,0.37664542,0.7243333458900452
59.375,-153.62500000000003,60,1984,276.68314,11.614088,58.413166,0.39721975,0.39698234,0.40577996,0.39172858,0.853444516658783
59.375,-153.62500000000003,75,1984,280.23383,13.147701,50.11276,0.38769078,0.39081073,0.40291613,0.39623845,1.0598889589309692
59.375,-153.62500000000003,90,1984,281.09875,14.91894,78.18844,0.39259034,0.39508834,0.3944769,0.39758757,1.633222222328186
59.375,-153.62500000000003,105,1984,281.81686,17.829414,52.455914,0.38094184,0.38245144,0.40472624,0.4015004,2.239555597305298
59.375,-153.62500000000003,120,1984,285.99216,20.817858,29.555199,0.35037482,0.3588438,0.3739733,0.4005067,2.8433334827423096
59.375,-153.62500000000003,135,1984,286.84293,24.69795,14.9447,0.27564433,0.30334622,0.34143344,0.39524746,3.214444398880005
59.375,-153.62500000000003,150,1984,288.2819,24.091005,15.86999,0.23733829,0.25888246,0.31404945,0.38857117,3.2604446411132812
59.375,-153.62500000000003,165,1984,291.9648,26.100061,6.5815263,0.20100754,0.23436183,0.29480046,0.38137028,2.528111219406128
59.375,-153.62500000000003,180,1984,294.1575,26.679436,1.1996446,0.15103284,0.20807716,0.28210446,0.37357596,1.9390000104904175
59.375,-153.62500000000003,195,1984,294.01804,25.735332,4.541188,0.14196563,0.19001494,0.2690579,0.3658209,1.8500001430511475
59.375,-153.62500000000003,210,1984,294.03256,22.93362,8.408393,0.15524022,0.18831204,0.2652085,0.35849825,1.5645556449890137
59.375,-153.62500000000003,225,1984,291.1184,18.232426,29.316088,0.2302188,0.20336057,0.27130538,0.35284257,1.3774446249008179
59.375,-153.62500000000003,240,1984,291.39667,19.759483,1.8102397,0.18863289,0.21154746,0.2530129,0.34781232,1.4375555515289307
59.375,-153.62500000000003,255,1984,288.10544,12.4475765,62.000095,0.28906375,0.25514808,0.25468385,0.34376943,1.45722234249115
59.375,-153.62500000000003,270,1984,288.39734,10.730276,49.262096,0.3460279,0.33098853,0.25507724,0.34134123,1.1282223463058472
59.375,-153.62500000000003,285,1984,284.9869,10.588622,23.599245,0.3231992,0.31545585,0.26031545,0.33942938,1.2075556516647339
59.375,-153.62500000000003,300,1984,283.78665,8.337786,33.03922,0.32482556,0.32045072,0.27654162,0.33752692,0.7848889231681824
59.375,-153.62500000000003,315,1984,282.26105,6.7510257,46.14991,0.36970606,0.36711606,0.3034527,0.33754864,0.5420000553131104
59.375,-153.62500000000003,330,1984,279.91132,5.7406793,14.724519,0.36424863,0.36654904,0.33183175,0.33818033,0.5481112003326416
59.375,-153.62500000000003,345,1984,277.36212,4.8058414,75.74026,0.3753683,0.37265438,0.34777108,0.33919424,0.47155559062957764
59.375,-153.62500000000003,0,1985,270.3649,6.7537017,70.75971,0.38580146,0.39163226,0.38859507,0.350307,0.5823333263397217
59.375,-153.62500000000003,15,1985,278.01605,6.645595,36.558537,0.4054376,0.40762696,0.4005745,0.36314607,0.562999963760376
59.375,-153.62500000000003,30,1985,278.69476,9.243987,45.09119,0.37719327,0.38323775,0.3970327,0.3739015,0.5317777991294861
59.375,-153.62500000000003,45,1985,275.38538,10.975239,19.393456,0.38548872,0.38762215,0.39704603,0.37984198,0.6823334097862244
59.375,-153.62500000000003,60,1985,280.18988,10.656513,63.554104,0.38659096,0.38866612,0.39189103,0.38269794,0.8648889064788818
59.375,-153.62500000000003,75,1985,279.10764,14.484921,59.60065,0.38468418,0.3906107,0.40973622,0.39476657,1.3308889865875244
59.375,-153.62500000000003,90,1985,283.63895,19.485605,22.745193,0.28672716,0.31166458,0.3682975,0.39789644,2.109222412109375
59.375,-153.62500000000003,105,1985,283.07407,15.958545,119.4039,0.3803956,0.38531068,0.39999205,0.40081432,2.886777877807617
59.375,-153.62500000000003,120,1985,286.1549,18.74615,25.19186,0.32263553,0.33468452,0.36745113,0.40114295,2.800889015197754
59.375,-153.62500000000003,135,1985,289.67886,23.039404,25.563253,0.29457095,0.29966944,0.33738074,0.39549726,2.667111396789551
59.375,-153.62500000000003,150,1985,291.1807,24.9309,4.448613,0.23709384,0.2677322,0.31365854,0.3887428,2.9505558013916016
59.375,-153.62500000000003,165,1985,291.16907,25.38123,3.2423654,0.17118159,0.23054129,0.30137396,0.3814734,2.555666923522949
59.375,-153.62500000000003,180,1985,293.032,25.21678,9.248712,0.1797673,0.21264218,0.2870001,0.37433305,2.3423335552215576
59.375,-153.62500000000003,195,1985,296.35065,25.653818,1.993965,0.15014994,0.19965711,0.27384043,0.3669381,2.1610002517700195
59.375,-153.62500000000003,210,1985,294.84982,24.24996,3.587903,0.14500783,0.18607739,0.26101518,0.3595111,2.1150004863739014
59.375,-153.62500000000003,225,1985,294.4783,20.857922,11.242962,0.14945357,0.17716892,0.24728425,0.35235736,1.874777913093567
