lat,lon,time,year,t2m,ssrd,tp,swvl1,swvl2,swvl3,swvl4,lai
63.875,-146.12500000000003,0,1982,269.36847,5.1190777,21.709646,0.39037806,0.39341456,0.40219995,0.38863453,0.4011111259460449
63.875,-146.12500000000003,15,1982,267.50342,7.0060797,9.485754,0.36320207,0.3648539,0.38685176,0.39181834,0.2844444513320923
63.875,-146.12500000000003,30,1982,269.8403,9.27707,15.341213,0.36002523,0.35939437,0.37174505,0.39079458,0.3691111207008362
63.875,-146.12500000000003,45,1982,269.20276,9.232695,26.283253,0.37078893,0.36852854,0.36261827,0.38916096,0.3454444408416748
63.875,-146.12500000000003,60,1982,274.2361,11.755993,22.49956,0.39643154,0.3955558,0.3857955,0.3889496,0.5284445285797119
63.875,-146.12500000000003,75,1982,275.646,12.449278,59.66775,0.38924462,0.39076442,0.39089394,0.39223844,0.8583333492279053
63.875,-146.12500000000003,90,1982,280.34988,16.561457,37.8713,0.3936781,0.3949793,0.408199,0.39931586,1.559333324432373
63.875,-146.12500000000003,105,1982,277.96002,16.119478,60.23043,0.39080182,0.38993567,0.39601392,0.4061319,1.9137778282165527
63.875,-146.12500000000003,120,1982,285.89127,19.025642,22.806627,0.36286193,0.36705253,0.3859438,0.404482,2.6297779083251953
63.875,-146.12500000000003,135,1982,288.68854,18.940693,76.132385,0.3450142,0.34298915,0.33395186,0.39934292,3.351889133453369
63.875,-146.12500000000003,150,1982,289.1561,19.333134,64.47152,0.34888998,0.34017462,0.32728338,0.39281797,3.7977778911590576
63.875,-146.12500000000003,165,1982,290.41177,22.522945,35.550976,0.32335523,0.32644668,0.31535128,0.38743776,4.025111198425293
63.875,-146.12500000000003,180,1982,288.42764,17.207836,92.66744,0.303564,0.30428025,0.30279845,0.38108355,4.099555969238281
63.875,-146.12500000000003,195,1982,291.84763,18.530334,51.20118,0.35270688,0.34888774,0.31918618,0.37660572,3.8436670303344727
63.875,-146.12500000000003,210,1982,291.3093,19.255644,24.724167,0.32551277,0.32583374,0.3150478,0.3727819,4.275444984436035
63.875,-146.12500000000003,225,1982,290.6561,15.500378,68.45098,0.33555883,0.31872225,0.2972136,0.36846122,3.97088885307312
63.875,-146.12500000000003,240,1982,290.41714,16.582298,7.6306486,0.30472073,0.3089033,0.2914826,0.3643449,3.4981112480163574
63.875,-146.12500000000003,255,1982,288.51303,12.085514,24.8817,0.28127164,0.26845586,0.27730617,0.36002856,2.666555643081665
63.875,-146.12500000000003,270,1982,283.1777,7.4381146,39.168,0.3631172,0.34281495,0.29942825,0.35701224,1.0522223711013794
63.875,-146.12500000000003,285,1982,281.578,8.929349,12.735186,0.3392258,0.33554694,0.31050822,0.35491583,1.4974445104599
63.875,-146.12500000000003,300,1982,275.39954,8.7466755,14.699828,0.33838335,0.3308752,0.31338823,0.35315317,0.9591110944747925
63.875,-146.12500000000003,315,1982,275.65085,4.8039684,34.572,0.37684754,0.36966854,0.32837713,0.35202986,0.5217778086662292
63.875,-146.12500000000003,330,1982,274.4573,4.052795,19.93609,0.3778243,0.37389797,0.34801534,0.35209087,0.47122225165367126
63.875,-146.12500000000003,345,1982,275.41763,3.4851046,68.25655,0.39528,0.3974729,0.3426045,0.35538295,0.25300002098083496
63.875,-146.12500000000003,0,1983,273.54034,4.911438,17.275585,0.367991,0.3716999,0.3842202,0.36403513,0.34333336353302
63.875,-146.12500000000003,15,1983,274.54562,5.005909,20.719032,0.3601392,0.36087552,0.37783858,0.36763176,0.30900004506111145
63.875,-146.12500000000003,30,1983,273.98947,7.538917,40.49263,0.37681657,0.37460026,0.37238127,0.36880535,0.3233333230018616
63.875,-146.12500000000003,45,1983,268.49625,9.765621,16.219933,0.36450884,0.3687274,0.37380582,0.3695882,0.41188889741897583
63.875,-146.12500000000003,60,1983,275.50113,11.253515,22.826601,0.36296007,0.36401686,0.3700765,0.3696805,0.5742223262786865
63.875,-146.12500000000003,75,1983,280.4618,14.787552,38.985714,0.34814277,0.34809428,0.35566157,0.3690768,0.9453333616256714
63.875,-146.12500000000003,90,1983,282.1222,16.570612,40.699505,0.37072864,0.37312508,0.36390164,0.36826202,1.5842223167419434
63.875,-146.12500000000003,105,1983,284.31473,17.824303,23.636618,0.34241927,0.3386163,0.3511826,0.36734444,2.3965556621551514
63.875,-146.12500000000003,120,1983,285.5726,19.167715,35.805443,0.34176284,0.33740023,0.33821937,0.365276,3.2647781372070312
63.875,-146.12500000000003,135,1983,288.81317,19.459948,80.235855,0.35004574,0.3479001,0.33028084,0.36246568,3.5476667881011963
63.875,-146.12500000000003,150,1983,288.86188,17.832876,93.03256,0.37028366,0.37144893,0.34144175,0.36081135,3.637333393096924
63.875,-146.12500000000003,165,1983,288.6052,16.708658,82.34588,0.38670316,0.38975838,0.3793984,0.3654378,3.795222282409668
63.875,-146.12500000000003,180,1983,291.37888,18.186361,72.64434,0.37518278,0.37527123,0.39149597,0.37285283,3.978222370147705
63.875,-146.12500000000003,195,1983,292.06284,21.125647,18.826412,0.31918526,0.32868183,0.36711282,0.376666,3.8288888931274414
63.875,-146.12500000000003,210,1983,290.42142,17.84849,27.098469,0.29471046,0.29898322,0.3289169,0.37265736,3.933889150619507
63.875,-146.12500000000003,225,1983,290.09198,17.018047,38.47251,0.29464185,0.2912818,0.30202067,0.36772823,3.951111316680908
63.875,-146.12500000000003,240,1983,288.05533,17.054317,11.522391,0.26868412,0.26849687,0.2860935,0.36285052,3.1958889961242676
63.875,-146.12500000000003,255,1983,286.52444,13.530779,33.278942,0.3027342,0.2922513,0.28108695,0.35830414,2.781222343444824
63.875,-146.12500000000003,270,1983,282.8809,11.79163,20.30652,0.3182718,0.308089,0.28640378,0.35475,1.5767778158187866
63.875,-146.12500000000003,285,1983,279.16083,9.331621,2.419043,0.2880712,0.2913355,0.28331226,0.3517015,0.9213333129882812
63.875,-146.12500000000003,300,1983,276.06558,6.624267,8.534213,0.29926178,0.2920214,0.28197557,0.34918663,0.7460000514984131
63.875,-146.12500000000003,315,1983,271.928,5.976614,21.793434,0.30929172,0.3059367,0.30112222,0.34728736,0.49800002574920654
63.875,-146.12500000000003,330,1983,268.63324,4.1055584,49.95411,0.34740645,0.34434327,0.31391138,0.346014,0.4301111102104187
63.875,-146.12500000000003,345,1983,273.80127,4.690349,13.93634,0.3712093,0.36051273,0.32581207,0.3450946,0.3284444808959961
63.875,-146.12500000000003,0,1984,272.70856,4.332089,38.73522,0.37088042,0.3707084,0.34540904,0.34481484,0.34422221779823303
63.875,-146.12500000000003,15,1984,272.22763,5.012549,62.7499,0.36417422,0.36683366,0.35746643,0.34612644,0.30633336305618286
63.875,-146.12500000000003,30,1984,271.7004,4.9529133,89.1968,0.37609625,0.37859923,0.37099537,0.35043228,0.3028889298439026
63.875,-146.12500000000003,45,1984,270.8885,7.463075,35.488403,0.36213502,0.36438102,0.37396297,0.35993698,0.312666654586792
63.875,-146.12500000000003,60,1984,274.0213,8.184228,64.871254,0.37678623,0.3755066,0.3721569,0.36540046,0.4813333749771118
63.875,-146.12500000000003,75,1984,275.35895,12.824145,45.83206,0.38154116,0.3815094,0.37468487,0.37040854,0.701888918876648
63.875,-146.12500000000003,90,1984,281.19083,14.422003,46.835674,0.3999982,0.40368107,0.39902395,0.37587258,1.2062222957611084
63.875,-146.12500000000003,105,1984,279.36813,15.901997,41.37727,0.3795384,0.38051096,0.39066172,0.38214466,1.9462223052978516
63.875,-146.12500000000003,120,1984,285.54886,15.55062,96.47136,0.38684785,0.3890693,0.3877746,0.38336992,2.6272222995758057
63.875,-146.12500000000003,135,1984,287.79794,22.625053,65.46812,0.37386936,0.38093808,0.39985391,0.39047945,3.8543336391448975
63.875,-146.12500000000003,150,1984,287.66745,20.943083,55.63479,0.36524904,0.36459702,0.38439026,0.3914671,4.173778057098389
63.875,-146.12500000000003,165,1984,288.60352,22.926722,24.141676,0.32781363,0.33478504,0.35868043,0.38872808,4.028444766998291
63.875,-146.12500000000003,180,1984,289.88376,22.919243,18.560818,0.2872409,0.30265474,0.34230736,0.38435608,4.1422224044799805
63.875,-146.12500000000003,195,1984,289.48175,20.368818,31.410755,0.29444683,0.29529744,0.32749283,0.37955505,3.9006664752960205
