lat,lon,time,year,t2m,ssrd,tp,swvl1,swvl2,swvl3,swvl4,lai
61.875,-151.12500000000003,0,1982,273.78082,5.18569,69.91366,0.40527487,0.40710258,0.40494856,0.4269124,0.40300002694129944
61.875,-151.12500000000003,15,1982,272.1801,7.940248,5.4387865,0.37603667,0.38084292,0.36727545,0.41884533,0.3760000467300415
61.875,-151.12500000000003,30,1982,272.27408,10.355693,11.681784,0.35735014,0.3574836,0.34393963,0.41007617,0.3907777965068817
61.875,-151.12500000000003,45,1982,272.94354,10.085417,32.95186,0.36255997,0.35883772,0.33920673,0.40331173,0.42644447088241577
61.875,-151.12500000000003,60,1982,275.38223,12.538011,67.362595,0.400803,0.39745778,0.3591191,0.39903247,0.34755557775497437
61.875,-151.12500000000003,75,1982,276.63516,15.937816,115.83383,0.3960476,0.39836788,0.38906252,0.397943,0.5813333988189697
61.875,-151.12500000000003,90,1982,281.65735,17.139357,65.83746,0.39105186,0.39231044,0.41009298,0.4097248,1.0281111001968384
61.875,-151.12500000000003,105,1982,278.04684,17.448885,41.139797,0.3860462,0.3877858,0.4065894,0.41315514,1.738222360610962
61.875,-151.12500000000003,120,1982,285.03214,20.85724,18.454098,0.32816422,0.33207136,0.35753986,0.40907946,1.8598889112472534
61.875,-151.12500000000003,135,1982,287.68518,22.449682,39.883587,0.31627995,0.2979361,0.29599556,0.3993122,2.7277779579162598
61.875,-151.12500000000003,150,1982,288.9577,22.978374,101.455826,0.3125042,0.28184718,0.2576061,0.38795313,3.3222224712371826
61.875,-151.12500000000003,165,1982,291.95273,25.033697,7.632098,0.28729022,0.3016652,0.2737568,0.37915793,3.39477801322937
61.875,-151.12500000000003,180,1982,290.15982,22.605885,61.86327,0.24943943,0.23985301,0.24928518,0.37066823,3.1664445400238037
61.875,-151.12500000000003,195,1982,292.47134,22.212997,19.221367,0.3071254,0.2948785,0.24389808,0.3632678,2.876889228820801
61.875,-151.12500000000003,210,1982,292.29984,21.560345,28.058807,0.2795144,0.26063618,0.23695499,0.35643497,2.7213335037231445
61.875,-151.12500000000003,225,1982,291.02805,20.438995,33.41993,0.2691105,0.25967264,0.2397414,0.3502719,2.5621113777160645
